strDrink,strDrinkThumb,idDrink
Almond Chocolate Coffee,https://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,16082
Almond Joy,https://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,11024
Amaretto And Cream,https://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,11025
Amaretto fizz,https://www.thecocktaildb.com/images/media/drink/92h3jz1582474310.jpg,178321
Amaretto Liqueur,https://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,12792
Amaretto Mist,https://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,11026
Amaretto Rose,https://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,11027
Amaretto Shake,https://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,15194
Amaretto Sour,https://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,13731
Amaretto Stinger,https://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,11028
Amaretto Stone Sour,https://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,14306
Amaretto Stone Sour Alternative,https://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,16100
Amaretto Sunrise,https://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,14578
Amaretto Sunset,https://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,17168
Amaretto Sweet & Sour,https://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,16202
Amaretto Tea,https://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,11029
Americano,https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,15941
Angel Face,https://www.thecocktaildb.com/images/media/drink/vaukir1606772580.jpg,11034
Angelica Liqueur,https://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg,12794
Aperol Spritz,https://www.thecocktaildb.com/images/media/drink/iloasq1587661955.jpg,178325
Apple Grande,https://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,16289
Apple Highball,https://www.thecocktaildb.com/images/media/drink/66mt9b1619695719.jpg,178353
Apple Pie with A Crust,https://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg,16958
Apple Slammer,https://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,13683
Applecar,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,11046
Applejack,https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,16311
Apricot Lady,https://www.thecocktaildb.com/images/media/drink/7ityp11582579598.jpg,11050
Apricot punch,https://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg,15849
Aquamarine,https://www.thecocktaildb.com/images/media/drink/zvsre31572902738.jpg,178319
Archbishop,https://www.thecocktaildb.com/images/media/drink/4g6xds1582579703.jpg,11052
Arctic Fish,https://www.thecocktaildb.com/images/media/drink/ttsvwy1472668781.jpg,14622
